	NCT Number	Title	Locations	Status	Study Results	Conditions	Gender	Age	Phases	Enrollment	URL	Location_Country	Location_City_or_State	Location_Institution	Start Date	Completion Date	First Posted	Last Update Posted	Funded Bys	Study Type	Trial_Duration_Days	Trial_Duration_Months	Trial_Duration_Category	Enrollment_Category
1526	NCT04470648	COVID-19 INFECTION AT SAMUSOCIAL IN PARIS: DESCRIPTIVE AND SEROLOGICAL SURVEY	HALTES POUR FEMMES, PARIS, FRANCE|LHSS SAINT-MICHEL, PARIS, FRANCE|LHSS RIDDER-PLAISANCE, PARIS, FRANCE	NOT YET RECRUITING	NO RESULTS AVAILABLE	SARS-COV2 INFECTION	ALL	ADULT, OLDER ADULT		220.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04470648	FRANCE	PARIS	HALTES POUR FEMMES	2020-07-01	2020-11-01	2020-07-01	2020-07-01	OTHER	OBSERVATIONAL	123.0	4.0	4 - 6 months	201 - 500
1527	NCT04446286	BICENTRIC STUDY ON THE USE OF ECMO-VV OR VA FOR SEVERE ARDS ASSOCIATED WITH COVID-19	SERVICE DE CHIRURGIE THORACIQUE NOUVEL HÔPITAL CIVIL HÔPITAUX UNIVERSITAIRES DE STRASBOURG, STRASBOURG, FRANCE	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		50.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04446286	FRANCE	STRASBOURG	SERVICE DE CHIRURGIE THORACIQUE NOUVEL HÔPITAL CIVIL HÔPITAUX UNIVERSITAIRES DE STRASBOURG	2020-06-01	2020-08-01	2020-06-01	2020-07-01	OTHER	OBSERVATIONAL	61.0	2.0	1 - 3 months	11 - 50
1528	NCT04347681	POTENTIAL EFFICACY OF CONVALESCENT PLASMA TO TREAT SEVERE COVID-19 AND PATIENTS AT HIGH RISK OF DEVELOPING SEVERE COVID-19	JOHN HOPKINS ARAMCO HEALTHCARE, DHAHRAN, EASTERN PROVENCE, SAUDI ARABIA|DAMMAM MEDICAL COMPLEX, DAMMAM, SAUDI ARABIA|IMAM ABDULRAHMAN BIN FAISAL UNIVERSITY, DAMMAM, SAUDI ARABIA|KING FAHAD SPECIALIST HOSPITAL, DAMMAM, SAUDI ARABIA|DHAHRAN MILITARY MEDICAL COMPLEX, DHAHRAN, SAUDI ARABIA|INTERNATIONAL MEDICAL CENTER, JEDDAH, SAUDI ARABIA|MADINAH GENERAL HOSPITAL, MEDINA, SAUDI ARABIA|OHUD HOSPITAL, MEDINA, SAUDI ARABIA|TAIBAH UNIVERSITY, MEDINA, SAUDI ARABIA|QATIF CENTRAL HOSPITAL, QATIF, SAUDI ARABIA|KING ABDULAZIZ MEDICAL CITY, RIYADH, SAUDI ARABIA|KING FAHAD MEDICAL CITY, RIYADH, SAUDI ARABIA|KING FAISAL SPECIALIST HOSPITAL & RESEARCH CENTER, RIYADH, SAUDI ARABIA|KING KHALID UNIVERSITY HOSPITAL, RIYADH, SAUDI ARABIA	RECRUITING	NO RESULTS AVAILABLE	CONVALESCENT PLASMA FOR COVID 19	ALL	ADULT, OLDER ADULT	PHASE 2	575.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04347681	SAUDI ARABIA	RIYADH	JOHN HOPKINS ARAMCO HEALTHCARE	2020-04-01	2021-04-01	2020-04-01	2020-08-01	OTHER	INTERVENTIONAL	365.0	12.0	7 - 12 months	501 - 1000
1529	NCT04359810	PLASMA THERAPY OF COVID-19 IN SEVERELY ILL PATIENTS	COLUMBIA UNIVERSITY IRVING MEDICAL CENTER/NYP, NEW YORK, NEW YORK, UNITED STATES|HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO, RIO DE JANEIRO, BRAZIL|HOSPITAL GERAL DE NOVA IGUAÇU, RIO DE JANEIRO, BRAZIL|INSTITUTO NACIONAL DE INFECTOLOGIA EVANDRO CHAGAS, RIO DE JANEIRO, BRAZIL	RECRUITING	NO RESULTS AVAILABLE	SARS-COV-2 INFECTION	ALL	ADULT, OLDER ADULT	PHASE 2	219.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04359810	BRAZIL	RIO DE JANEIRO	COLUMBIA UNIVERSITY IRVING MEDICAL CENTER/NYP	2020-04-01	2021-04-01	2020-04-01	2020-11-01	OTHER	INTERVENTIONAL	365.0	12.0	7 - 12 months	201 - 500
1530	NCT04459390	ASSOCIATION OF COMORBIDITIES WITH COVID19	FACULTY OF MEDICINE, ASSIUT, EGYPT	RECRUITING	NO RESULTS AVAILABLE	COVID19	ALL			100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04459390	EGYPT	ASSIUT	FACULTY OF MEDICINE	2020-07-01	2020-11-01	2020-07-01	2020-08-01	OTHER	OBSERVATIONAL	123.0	4.0	4 - 6 months	51 - 100
1531	NCT04361344	NEURODEGENERATION MARKERS AND NEUROLOGICAL COURSE IN SEVERE COVID-19 INFECTION	CH DE PAU, PAU, FRANCE	RECRUITING	NO RESULTS AVAILABLE	COVID-19 INFECTION|ENCEPHALITIS	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	30.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04361344	FRANCE	PAU	CH DE PAU	2020-05-01	2021-01-01	2020-04-01	2020-05-01	OTHER	INTERVENTIONAL	245.0	8.0	7 - 12 months	11 - 50
1532	NCT04613310	PCR AND RAPID DIAGNOSTIC TEST ON SALIVA AND NASOPHARYNGEAL SWABS FOR THE DETECTION OF SARS-COV-2	UNISANTÉ, LAUSANNE, VAUD, SWITZERLAND	RECRUITING	NO RESULTS AVAILABLE	COVID-19|SARS-COV-2	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	1250.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04613310	SWITZERLAND	VAUD	UNISANTÉ	2020-09-01	2020-12-01	2020-11-01	2020-11-01	OTHER	INTERVENTIONAL	91.0	3.0	1 - 3 months	1001 - 5000
1533	NCT04406532	HOME-BASED COVID-19 REHABILITATION PROGRAM		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04406532	NAN	NAN	NAN	2020-10-01	2021-03-01	2020-05-01	2020-09-01	OTHER	INTERVENTIONAL	151.0	5.0	4 - 6 months	51 - 100
1534	NCT04330144	HYDROXYCHLOROQUINE AS POST EXPOSURE PROPHYLAXIS FOR SARS-COV-2(HOPE TRIAL)		NOT YET RECRUITING	NO RESULTS AVAILABLE	CONTACT PERSON FROM COVID-19 CONFIRMED PATIENT	ALL	ADULT, OLDER ADULT	PHASE 3	2486.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04330144	NAN	NAN	NAN	2020-04-01	2022-03-01	2020-04-01	2020-04-01	OTHER	INTERVENTIONAL	699.0	23.0	1 - 2 years	1001 - 5000
1535	NCT04597034	EFFICACY AND SAFETY OF A HIGHLY SELECTIVE SEMIPERMEABLE MEMBRANE (AN-69 OXIRIS) VS (STANDARD AN-69) IN COVID-19	INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN, MEXICO CITY, MEXICO	RECRUITING	NO RESULTS AVAILABLE	COVID19|AKI	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	35.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04597034	MEXICO	MEXICO CITY	INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN	2020-10-01	2022-03-01	2020-10-01	2020-10-01	OTHER	INTERVENTIONAL	516.0	17.0	1 - 2 years	11 - 50
1536	NCT04602871	EARLY DETECTION OF COVID-19 USING BREATH ANALYSIS - FEASIBILITY STUDY	SOROKA MEDICAL CENTER, BE'ER SHEVA, ISRAEL|MEIR MEDICAL CENTER, KFAR SABA, ISRAEL	RECRUITING	NO RESULTS AVAILABLE	COVID19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	108.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04602871	ISRAEL	KFAR SABA	SOROKA MEDICAL CENTER	2020-07-01	2021-01-01	2020-10-01	2020-10-01	INDUSTRY	INTERVENTIONAL	184.0	6.0	4 - 6 months	101 - 200
1537	NCT04342104	NIV AND CPAP FAILURE PREDICTORS IN COVID-19 ASSOCIATED RESPIRATORY FAILURE	HOSPITAL GENERAL UNIVERSITARIO MORALES MESEGUER, MURCIA, SPAIN	RECRUITING	NO RESULTS AVAILABLE	RESPIRATORY FAILURE|COVID-19	ALL	ADULT, OLDER ADULT		100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04342104	SPAIN	MURCIA	HOSPITAL GENERAL UNIVERSITARIO MORALES MESEGUER	2020-04-01	2020-09-01	2020-04-01	2020-07-01	OTHER	OBSERVATIONAL	153.0	5.0	4 - 6 months	51 - 100
1538	NCT04407429	VIENNA VERSUS SARS-COV-2 VIRUS STUDY	MEDICAL UNIVERSITY OF VIENNA, VIENNA, AUSTRIA	RECRUITING	NO RESULTS AVAILABLE	SARS-COV-2|COVID-19	ALL			12000.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04407429	AUSTRIA	VIENNA	MEDICAL UNIVERSITY OF VIENNA	2020-05-01	2021-06-01	2020-05-01	2020-05-01	OTHER	OBSERVATIONAL	396.0	13.0	1 - 2 years	over 10000
1539	NCT04346797	CORIMUNO19-ECU: TRIAL EVALUATING EFFICACY AND SAFETY OF ECULIZUMAB (SOLIRIS) IN PATIENTS WITH COVID-19 INFECTION, NESTED IN THE CORIMUNO-19 COHORT	SAINT LOUIS, PARIS, ILE DE FRANCE, FRANCE|RÉANIMATION MÉDICALE, PARIS, FRANCE|SAINT LOUIS, PARIS, FRANCE	RECRUITING	NO RESULTS AVAILABLE	SARS-COV-2|COVID19	ALL	ADULT, OLDER ADULT	PHASE 2	120.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04346797	FRANCE	PARIS	SAINT LOUIS	2020-04-01	2020-12-01	2020-04-01	2020-04-01	OTHER	INTERVENTIONAL	244.0	8.0	7 - 12 months	101 - 200
1540	NCT04343144	TRIAL EVALUATING EFFICACY AND SAFETY OF NIVOLUMAB (OPTIVO®) IN PATIENTS WITH COVID-19 INFECTION, NESTED IN THE CORIMMUNO-19 COHORT.	PNEUMOLOGIE HÔPITAL TENON, PARIS, FRANCE	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID19- INFECTION WITH SARS-COV-2 VIRUS	ALL	ADULT, OLDER ADULT	PHASE 2	92.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04343144	FRANCE	PARIS	PNEUMOLOGIE HÔPITAL TENON	2020-04-01	2020-09-01	2020-04-01	2020-04-01	OTHER	INTERVENTIONAL	153.0	5.0	4 - 6 months	51 - 100
1541	NCT04425044	AIM COVID SELF MONITORING	MOTHERS TOUCH FOUNDATION, MUMBAI, MAHARASHTRA, INDIA|NMP MEDICAL RESEARCH INSTITITE, JAIPUR, RAJASTHAN, INDIA	COMPLETED	NO RESULTS AVAILABLE	COVID19	ALL	ADULT, OLDER ADULT		1000.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04425044	INDIA	RAJASTHAN	MOTHERS TOUCH FOUNDATION	2020-04-01	2020-05-01	2020-06-01	2020-06-01	OTHER	OBSERVATIONAL	30.0	1.0	1 - 3 months	501 - 1000
1542	NCT04359654	NEBULISED DORNASE ALFA FOR TREATMENT OF COVID-19	UNIVERSITY COLLEGE LONDON HOSPITAL, LONDON, UNITED KINGDOM	RECRUITING	NO RESULTS AVAILABLE	COVID19|HYPOXIA	ALL	ADULT, OLDER ADULT	PHASE 2	50.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04359654	UNITED KINGDOM	LONDON	UNIVERSITY COLLEGE LONDON HOSPITAL	2020-06-01	2021-11-01	2020-04-01	2020-10-01	OTHER	INTERVENTIONAL	518.0	17.0	1 - 2 years	11 - 50
1543	NCT04608201	EVALUATION OF THE EFFICACY OF NICOTINE PATCHES IN SARS-COV2 (COVID-19) INFECTION IN HOSPITALIZED PATIENTS	HOSPITAL PITIÉ-SALPÊTRIÈRE - AP-HP, PARIS, FRANCE	NOT YET RECRUITING	NO RESULTS AVAILABLE	SARS-COV2	ALL	ADULT, OLDER ADULT	PHASE 3	220.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04608201	FRANCE	PARIS	HOSPITAL PITIÉ-SALPÊTRIÈRE - AP-HP	2020-11-01	2022-06-01	2020-10-01	2020-11-01	OTHER	INTERVENTIONAL	577.0	19.0	1 - 2 years	201 - 500
1544	NCT04591158	COVID-19 AND LUNG ULTRASOUND UTILITY	MARKHAM STOUFFVILLE HOSPITAL, MARKHAM, ONTARIO, CANADA	RECRUITING	NO RESULTS AVAILABLE	COVID19|LUNG INFECTION	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04591158	CANADA	ONTARIO	MARKHAM STOUFFVILLE HOSPITAL	2020-09-01	2021-09-01	2020-10-01	2020-10-01	OTHER	INTERVENTIONAL	365.0	12.0	7 - 12 months	51 - 100
1545	NCT04251767	WASHED MICROBIOTA TRANSPLANTATION FOR PATIENTS WITH 2019-NCOV INFECTION	MEDICAL CENTER FOR DIGESTIVE DISEASES, THE SECOND AFFILIATED HOSPITAL OF NANJING MEDICAL UNIVERSITY, NANJING, JIANGSU, CHINA	WITHDRAWN	NO RESULTS AVAILABLE	COVID-19 COMPLICATED WITH REFRACTORY INTESTINAL INFECTIONS	ALL	CHILD, ADULT, OLDER ADULT	NOT APPLICABLE	0.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04251767	CHINA	JIANGSU	MEDICAL CENTER FOR DIGESTIVE DISEASES	2020-02-01	2020-04-01	2020-02-01	2020-03-01	OTHER	INTERVENTIONAL	60.0	2.0	1 - 3 months	less then 10
1546	NCT04602507	IVERMECTIN IN ADULTS WITH SEVERE COVID-19.	CLINICA CES, MEDELLÍN, ANTIOQUIA, COLOMBIA	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID19|SEVERE ACUTE RESPIRATORY SYNDROME	ALL	ADULT, OLDER ADULT	PHASE 2	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04602507	COLOMBIA	ANTIOQUIA	CLINICA CES	2020-10-01	2021-02-01	2020-10-01	2020-10-01	OTHER	INTERVENTIONAL	123.0	4.0	4 - 6 months	51 - 100
1547	NCT04480515	DOES COVID-19 PANDEMIC REDUCE IN-HOSPITAL MORTALITY?	KANUNI SULTAN SULEYMAN TRAINING AND RESEARCH HOSPITAL, ISTANBUL, TURKEY	COMPLETED	NO RESULTS AVAILABLE	COVID19|IN-HOSPITAL CARDIAC ARREST	ALL	ADULT, OLDER ADULT		5000.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04480515	TURKEY	ISTANBUL	KANUNI SULTAN SULEYMAN TRAINING AND RESEARCH HOSPITAL	2020-03-01	2020-06-01	2020-07-01	2020-07-01	OTHER	OBSERVATIONAL	92.0	3.0	1 - 3 months	1001 - 5000
1548	NCT04368923	MANAGEMENT OF COVID-19 PATIENTS DURING HOME ISOLATION	M. SEDKY, CAIRO, EGYPT	ACTIVE, NOT RECRUITING	NO RESULTS AVAILABLE	COVID 19	ALL	ADULT	NOT APPLICABLE	60.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04368923	EGYPT	CAIRO	M. SEDKY	2020-03-01	2020-06-01	2020-04-01	2020-06-01	OTHER	INTERVENTIONAL	92.0	3.0	1 - 3 months	51 - 100
1549	NCT04468971	REGULATORY T CELL INFUSION FOR LUNG INJURY DUE TO COVID-19 PNEUMONIA	JOHNS HOPKINS HOSPITAL, BALTIMORE, MARYLAND, UNITED STATES|COLUMBIA UNIVERSITY, NEW YORK, NEW YORK, UNITED STATES|UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL, NORTH CAROLINA, UNITED STATES|WAKE FOREST UNIVERSITY, WINSTON-SALEM, NORTH CAROLINA, UNITED STATES|BAYLOR COLLEGE OF MEDICINE, ST LUKE'S HOSPITAL, HOUSTON, TEXAS, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID19|ARDS	ALL	ADULT, OLDER ADULT	PHASE 1	45.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04468971	UNITED STATES OF AMERICA	TEXAS	JOHNS HOPKINS HOSPITAL	2020-09-01	2021-09-01	2020-07-01	2020-10-01	INDUSTRY	INTERVENTIONAL	365.0	12.0	7 - 12 months	11 - 50
1550	NCT04384055	PREDICTING OUTCOMES FOR COVID-19 USING SONOGRAPHY	UNIVERSITY OF CALIFORNIA SAN FRANCISCO, SAN FRANCISCO, CALIFORNIA, UNITED STATES|STANFORD UNIVERSITY, STANFORD, CALIFORNIA, UNITED STATES	ENROLLING BY INVITATION	NO RESULTS AVAILABLE	COVID-19|PNEUMONIA, VIRAL	ALL	ADULT, OLDER ADULT		200.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04384055	UNITED STATES OF AMERICA	CALIFORNIA	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	2020-03-01	2020-12-01	2020-05-01	2020-09-01	OTHER	OBSERVATIONAL	275.0	9.0	7 - 12 months	101 - 200
1551	NCT04347824	PREDICT ADVERSE EVENTS BY COVID-19 NEPHRITIS	UNIVERSITY MEDICAL CENTER GOETTINGEN, GÖTTINGEN, GERMANY	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL			100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04347824	GERMANY	GÖTTINGEN	UNIVERSITY MEDICAL CENTER GOETTINGEN	2020-04-01	2021-12-01	2020-04-01	2020-06-01	OTHER	OBSERVATIONAL	609.0	20.0	1 - 2 years	51 - 100
1552	NCT04568850	WAXING AND WANING OF SERUM SARS COV-2-IGG LEVEL IN COVID-19 EXPOSED POPULATION	LAHORE GENERAL HOSPITAL, LAHORE, PUNJAB, PAKISTAN	ACTIVE, NOT RECRUITING	NO RESULTS AVAILABLE	COVID19	ALL			50.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04568850	PAKISTAN	PUNJAB	LAHORE GENERAL HOSPITAL	2020-07-01	2020-11-01	2020-09-01	2020-10-01	OTHER	OBSERVATIONAL	123.0	4.0	4 - 6 months	11 - 50
1553	NCT04347928	RESPIRATORY AND HEMODYNAMIC CHANGES INDUCED IN MECHANICALLY VENTILATED PATIENTS FOR COVID-19	HOPITAL ROGER SALENGRO, CHU LILLE, LILLE, FRANCE	RECRUITING	NO RESULTS AVAILABLE	COVID-19|ARDS|SARS-COV2	ALL	ADULT, OLDER ADULT		15.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04347928	FRANCE	LILLE	HOPITAL ROGER SALENGRO	2020-04-01	2020-09-01	2020-04-01	2020-05-01	OTHER	OBSERVATIONAL	153.0	5.0	4 - 6 months	11 - 50
1554	NCT04595240	SEMEN ANALYSIS CHANGES IN COVID-19 POSITIVEPATIENTS	MOSTAFA KAMEL, ASSIUT, EGYPT	COMPLETED	NO RESULTS AVAILABLE	COVID19	MALE	ADULT		100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04595240	EGYPT	ASSIUT	MOSTAFA KAMEL	2020-05-01	2020-10-01	2020-10-01	2020-10-01	OTHER	OBSERVATIONAL	153.0	5.0	4 - 6 months	51 - 100
1555	NCT04361903	RUXOLITINIB FOR THE TREATMENT OF ACUTE RESPIRATORY DISTRESS SYNDROME IN PATIENTS WITH COVID-19 INFECTION		NOT YET RECRUITING	NO RESULTS AVAILABLE	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	ALL	ADULT, OLDER ADULT		13.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04361903	NAN	NAN	NAN	2020-04-01	2020-05-01	2020-04-01	2020-04-01	OTHER	OBSERVATIONAL	30.0	1.0	1 - 3 months	11 - 50
1556	NCT04354753	AIM COVID FOR COVID 19 TRACKING AND PREDICTION	AAROGYAM (UK), LEICESTER, UNITED KINGDOM	COMPLETED	NO RESULTS AVAILABLE	COVID 19	ALL	ADULT, OLDER ADULT		80.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04354753	UNITED KINGDOM	LEICESTER	AAROGYAM (UK)	2020-03-01	2020-04-01	2020-04-01	2020-04-01	OTHER	OBSERVATIONAL	31.0	1.0	1 - 3 months	51 - 100
1557	NCT04385095	TRIAL OF INHALED ANTI-VIRAL (SNG001) FOR SARS-COV-2 (COVID-19) INFECTION	BELFAST CITY HOSPITAL, BELFAST, UNITED KINGDOM|QUEEN ELIZABETH HOSPITAL,, BIRMINGHAM, UNITED KINGDOM|BRADFORD ROYAL INFIRMARY, BRADFORD, UNITED KINGDOM|HULL AND EAST YORKSHIRE NHS TRUST, CASTLE HILL HOSPITAL,, HULL, UNITED KINGDOM|GLENFIELD HOSPITAL,, LEICESTER, UNITED KINGDOM|WYTHENSHAWE HOSPITAL, MANCHESTER, UNITED KINGDOM|CITY CAMPUS OF NOTTINGHAM UNIVERSITY, NOTTINGHAM, UNITED KINGDOM|JOHN RADCLIFFE HOSPITAL, OXFORD, UNITED KINGDOM|UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST, SOUTHAMPTON, UNITED KINGDOM	RECRUITING	NO RESULTS AVAILABLE	SARS-COV-2	ALL	ADULT, OLDER ADULT	PHASE 2	820.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04385095	UNITED KINGDOM	SOUTHAMPTON	BELFAST CITY HOSPITAL	2020-03-01	2021-05-01	2020-05-01	2020-08-01	INDUSTRY	INTERVENTIONAL	426.0	14.0	1 - 2 years	501 - 1000
1558	NCT04531319	IMMUNE CELL SUBGROUPS IN COVID 19 PATIENTS	ISTANBUL TRAINING AND RESEACH HOSPITAL, ISTANBUL, TURKEY	RECRUITING	NO RESULTS AVAILABLE	COVID19	ALL	ADULT, OLDER ADULT		60.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04531319	TURKEY	ISTANBUL	ISTANBUL TRAINING AND RESEACH HOSPITAL	2020-08-01	2020-09-01	2020-08-01	2020-08-01	OTHER	OBSERVATIONAL	31.0	1.0	1 - 3 months	51 - 100
1559	NCT04257656	A TRIAL OF REMDESIVIR IN ADULTS WITH SEVERE COVID-19	BIN CAO, BEIJING, BEIJING, CHINA	TERMINATED	NO RESULTS AVAILABLE	COVID-19|REMDESIVIR|SARS-COV-2	ALL	ADULT, OLDER ADULT	PHASE 3	237.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04257656	CHINA	BEIJING	BIN CAO	2020-02-01	2020-04-01	2020-02-01	2020-04-01	OTHER	INTERVENTIONAL	60.0	2.0	1 - 3 months	201 - 500
1560	NCT04392531	CLINICAL TRIAL TO ASSESS EFFICACY OF CYCLOSPORINE PLUS STANDARD OF CARE IN HOSPITALIZED PATIENTS WITH COVID19	COMPLEJO HOSPITALARIO UNIVERSITARIO LA CORUÑA, LA CORUÑA, GALICIA, SPAIN|HOSPITAL QUIRON LA CORUÑA, LA CORUÑA, GALICIA, SPAIN|HOSPITAL REY JUAN CARLOS, MOSTOLES, MADRID, SPAIN|HOSPITAL INFANTA ELENA, VALDEMORO, MADRID, SPAIN|HOSPITAL GENERAL DE VILLALBA, VILLALBA, MADRID, SPAIN|FUNDACION JIMENEZ DIAZ, MADRID, SPAIN|CLINICA UNIVERSITARIA DE NAVARRA, MADRID, SPAIN	RECRUITING	NO RESULTS AVAILABLE	COVID19 INFECTION	ALL	ADULT, OLDER ADULT	PHASE 4	120.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04392531	SPAIN	MADRID	COMPLEJO HOSPITALARIO UNIVERSITARIO LA CORUÑA	2020-04-01	2020-12-01	2020-05-01	2020-08-01	OTHER	INTERVENTIONAL	244.0	8.0	7 - 12 months	101 - 200
1561	NCT04462627	REDUCTION OF COVID 19 TRANSMISSION TO HEALTH CARE PROFESSIONALS	CHU BRUGMANN, BRUSSELS, BELGIUM	RECRUITING	NO RESULTS AVAILABLE	COVID 19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	500.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04462627	BELGIUM	BRUSSELS	CHU BRUGMANN	2020-04-01	2020-12-01	2020-07-01	2020-07-01	OTHER	INTERVENTIONAL	244.0	8.0	7 - 12 months	201 - 500
1562	NCT04590378	PULMONARY EMBOLISM AND COVID-19	UŞAK UNIVERSITY, USAK, TURKEY	RECRUITING	NO RESULTS AVAILABLE	COVID-19|PULMONARY EMBOLISM	ALL	ADULT, OLDER ADULT		600.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04590378	TURKEY	USAK	UŞAK UNIVERSITY	2020-03-01	2020-12-01	2020-10-01	2020-10-01	OTHER	OBSERVATIONAL	275.0	9.0	7 - 12 months	501 - 1000
1563	NCT04412473	COVID-19 RESPIRATORY DISTRESS AND ANTITHROMBOTIC DRUGS IN SUBJECT'S HABITS	SERVICE MÉDECINE INTENSIVE ET RÉANIMATION, STRASBOURG, FRANCE	RECRUITING	NO RESULTS AVAILABLE	SARS-COV2	ALL	ADULT, OLDER ADULT		1000.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04412473	FRANCE	STRASBOURG	SERVICE MÉDECINE INTENSIVE ET RÉANIMATION	2020-04-01	2020-06-01	2020-06-01	2020-06-01	OTHER	OBSERVATIONAL	61.0	2.0	1 - 3 months	501 - 1000
1564	NCT04448145	DETERMINANTS OF SARS-COV2 (COVID-19) PERSISTENCE AFTER CONVALESCENCE	COLUMBIA UNIVERSITY MEDICAL CENTER, NEW YORK, NEW YORK, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19|CORONA VIRUS INFECTION|SARS-COV 2	ALL	CHILD, ADULT, OLDER ADULT		250.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04448145	UNITED STATES OF AMERICA	NEW YORK	COLUMBIA UNIVERSITY MEDICAL CENTER	2020-03-01	2021-03-01	2020-06-01	2020-06-01	OTHER	OBSERVATIONAL	365.0	12.0	7 - 12 months	201 - 500
1565	NCT04410328	AGGRENOX TO TREAT ACUTE COVID-19	RUTGERS NEW JERSEY MEDICAL SCHOOL UNIVERSITY HOSPITAL, NEWARK, NEW JERSEY, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID19	ALL	ADULT, OLDER ADULT	PHASE 3	132.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04410328	UNITED STATES OF AMERICA	NEW JERSEY	RUTGERS NEW JERSEY MEDICAL SCHOOL UNIVERSITY HOSPITAL	2020-10-01	2021-12-01	2020-06-01	2020-10-01	OTHER|INDUSTRY	INTERVENTIONAL	426.0	14.0	1 - 2 years	101 - 200
1566	NCT04425707	IVERMECTIN IN TREATMENT OF COVID 19 PATIENTS	ISOLATION AND REFERAL HOSPITALS FOR COVID 19 PATIENTS, CAIRO, EGYPT	RECRUITING	NO RESULTS AVAILABLE	COVID19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04425707	EGYPT	CAIRO	ISOLATION AND REFERAL HOSPITALS FOR COVID 19 PATIENTS	2020-06-01	2020-09-01	2020-06-01	2020-06-01	OTHER	INTERVENTIONAL	92.0	3.0	1 - 3 months	51 - 100
